2018-11-14 09:06:56 INFO  DriverManagerConnectionProviderImpl:180 - HHH000006: Autocommit mode: false
2018-11-14 09:06:56 INFO  DriverManagerConnectionProviderImpl:102 - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-14 09:06:57 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2018-11-14 09:06:58 INFO  TransactionFactoryInitiator:62 - HHH000399: Using default transaction strategy (direct JDBC transactions)
2018-11-14 09:06:58 INFO  ASTQueryTranslatorFactory:47 - HHH000397: Using ASTQueryTranslatorFactory
2018-11-14 09:07:00 INFO  Configuration:2131 - HHH000042: Configuring from file: hibernate_license.cfg.xml
2018-11-14 09:07:00 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/modelLicense/Comp.hbm.xml
2018-11-14 09:07:00 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/modelLicense/License.hbm.xml
2018-11-14 09:07:00 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/modelLicense/User.hbm.xml
2018-11-14 09:07:00 INFO  Configuration:2214 - HHH000041: Configured SessionFactory: null
2018-11-14 09:07:00 WARN  DriverManagerConnectionProviderImpl:93 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2018-11-14 09:07:00 INFO  DriverManagerConnectionProviderImpl:166 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://185.25.117.219:3306/license_ml?autoReconnect=true&amp;useUnicode=true&amp;characterEncoding=utf8&amp;zeroDateTimeBehavior=convertToNull]
2018-11-14 09:07:00 INFO  DriverManagerConnectionProviderImpl:175 - HHH000046: Connection properties: {user=lic, password=****}
2018-11-14 09:07:00 INFO  DriverManagerConnectionProviderImpl:180 - HHH000006: Autocommit mode: false
2018-11-14 09:07:00 INFO  DriverManagerConnectionProviderImpl:102 - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-14 09:07:00 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2018-11-14 09:07:00 INFO  TransactionFactoryInitiator:62 - HHH000399: Using default transaction strategy (direct JDBC transactions)
2018-11-14 09:07:00 INFO  ASTQueryTranslatorFactory:47 - HHH000397: Using ASTQueryTranslatorFactory
2018-11-14 09:15:05 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.4.Final}
2018-11-14 09:15:05 INFO  Version:54 - HHH000412: Hibernate Core {4.3.1.Final}
2018-11-14 09:15:05 INFO  Environment:239 - HHH000206: hibernate.properties not found
2018-11-14 09:15:05 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2018-11-14 09:15:05 INFO  Configuration:2131 - HHH000042: Configuring from file: hibernate.cfg.xml
